chandler_dialogue,dialogues_since_last_chandler,intervening_dialogues
Kind of? If you just kept this to yourself none of this would've happened.,7,"['Joey: Yes! Yes! Unreasonable!', ""Ross: Unreasonable? How about we have this conversation when one of you guys gets married! You have no idea what it takes to make a marriage work! All right, it's about compromise! Do you always like it? No! Do you do it? Yes! Because it's not all laughing, happy, candy in the sky, drinking coffee at Central Perk all the time! It's real life, okay? It's what grown-ups do! (He storms out.)"", ""Phoebe: I think he's right. You guys hang out at the coffeehouse way too much."", ""[Scene: Central Perk, Monica, Phoebe, Joey, and Chandler are recovering from Ross's rebuke.]"", 'Monica: God, I feel so guilty about Ross.', 'Phoebe: Oh, I know.', ""Joey: I kinda feel like it's my fault.""]"
"Well, I think it's very brave what you said.",1,"[""Joey: Well, I'm keeping so many things to myself these days, something was bound to slip out! (He glares at Chandler.)""]"
"Pheebs, what are you doing with the coat? How about the whole animal rights thing?",1,"[""Phoebe: All right, I can't sit here anymore. I have to walk places. (She puts on her fur coat.)""]"
"Uh, Ross?",10,"['Danny: Okay. (Heads for his apartment.)', 'Rachel: And stop saying that! I hate that!', 'Danny: Okay!', ""Rachel: Fine! I judged you. I made a snap judgement. But you did it too! And you are worse because you are sticking to your stupid snap judgement! You can't even open up your mind for a second to see if you're wrong! What does that say about you?"", 'Danny: The pizza-place across the street any good?', 'Rachel: What?!', ""Danny: I'm hungry. Wanna get some pizza? You can keep yelling if there's more."", 'Rachel: Okay. Okay.', 'Danny: Stop saying that. I hate that.', ""[Scene: Ross's now empty apartment, he is spackling some holes shut as the gang comes to apologize.]""]"
"Yeah, we are so sorry.",5,"['Phoebe: Are you still mad at us?', 'Ross: Yep.', 'Phoebe: Oh good! Because we have an ""I\'m sorry"" song.', ""Ross: Y'know what? I'm really not in the mood."", ""Joey: Look, Ross, I feel really bad. I mean, you're going through all this stuff and I just acted like a jerk.""]"
Hi!,10,"[""Rachel: Okay. Okay. Joey, it's okay. Settle down."", ""Joey: All right, I-I'm sorry. I'm sorry. You see Rach I'm an actor"", ""Ross: Hey! Hey, look! Ugly Naked Guy's back!"", ""Rachel: I haven't seen him in so long!"", 'Phoebe: Oh God, I really missed that fat bastard!', ""Monica: Wow, this is so weird. I just realized this might be the last time we'll all be hanging out together."", ""Joey: It's almost as if he knew."", ""Monica: I'll get it. (On phone.) Hello. (Listens.) Hi Emily! (Listens.) Yeah, uh you-you tracked him down. Hold on one second. (She hands the phone to Ross.)"", ""Ross: Hey! (Listens.) Yeah-yeah, we're just having dinner. (Listens.) Uh, yeah, sure uh hold on. (To the gang.) She wants to say hi. (To Emily) Hold on."", 'Phoebe: Hi Emily!']"
"Oh yeah, there-there she is!",5,"['Emily: Hello everyone. So who am I saying hello too?', ""Joey: Well uh, I don't know about who's here, but I can tell you for damn sure who's not here and that's Rachel!!"", 'Emily: (laughs) Well, I should hope not. Ross knows better than that by now.', ""Ross: Y'know what? Uh, Rachel is here! (Rachel stops.)"", ""Emily: She's there?!""]"
Are you looking at naked tribe's women?,10,"['Ross: My marriage is over.', 'All: What?!', ""Monica: Oh, sweetie. Oh, look at you. You're shivering."", 'Phoebe: Here. (She wraps her coat around his shoulders.)', 'Rachel: Ross, honey, is there anything we can do?', 'Ross: Yeah. You can help me get my furniture back from Gunther.', '[Scene: A curbside newsstand, Phoebe is whistling and walking up to it wearing her fur coat. She stops and starts to look through a magazine and notices a squirrel on a nearby tree chirping at her.]', ""Phoebe: (to the squirrel) Okay, stop tormenting me! This mink! Okay, they're mean! And they hate squirrels! And y'know, okay, most of these probably wanted to be coats! (The squirrel stares at her.) All right, fine, now I get it. (To the clerk.) Here. (She hands him her coat.) You take it. (To the squirrel.) Are you happy now? I'm cold!"", 'Written by: Perry Rein & Gigi McCreery Transcribed by: Eric Aasen', '[Scene: Central Perk, Chandler and Joey are there. Joey is looking at a National Geographic and giggling.]']"
That's a pig.,1,"['Joey: No, look. (Shows him the magazine.)']"
Hey! (Joey quickly hides the magazine under the couch.),1,"['Joey: I know, I know, but look at the knobs on her.']"
What?!,1,"[""Ross: Emily's cousin kicked me out!""]"
How can he do that? Didn't you sign a lease?,2,"['Joey: Why?', ""Ross: Well, when you're subletting an apartment from your wife's cousin and then you get a divorce, sometimes the cousin suddenly wants his apartment back.""]"
"Oh, yeah! Absolutely! Anything you need man! But you have to promise me the second you are feeling better so that we can make fun of your hair!",2,"[""Ross: Who needs a lease when it's family!"", ""Joey: Hey, you can stay with us! We'll take care of ya!""]"
He thought you said gonad.,5,"['Joey: Yeah.', 'Ross: You got it.', 'Joey: Okay.', ""Ross: Thanks you guys, I really appreciate this. All right, I'm gonna get packing again. Man, I've been moving around so much I'm beginning to feel like a nomad."", 'Ross: What?']"
Love what you've done with the place.,10,"[""Rachel: (laughs) Okay. All right, I see what he's doing! He's not asking me out, because he wants me to ask him out."", ""Monica: And you're not gonna do that."", ""Rachel: That's right! 'Cause that would give him the control! So now he's all ooh, coming up with this whole I've got a party thing y'know, trying to get me to hint around for an invitation. Blew up in his face, didn't it?"", 'Monica: So-so there is no party.', ""Rachel: No, there's a party. There's a party. But the power, that is still up for grabs. You follow me?"", ""Monica: I think so. Se, he-he's not inviting you to his party because he likes you."", 'Rachel: Exactly.', ""[Scene: Chandler and Joey's, they're entering to find boxes strewn about the apartment.]"", 'Joey: Ross?', 'Ross: (entering from the bathroom) Hey roomies!']"
Oh yeah!,2,"[""Ross: Oh, yeah I know, I know, it's a lot of boxes, but again I really appreciate you guys letting me stay here."", ""Joey: Not a problem. And listen, hey! Since you're gonna be here for a while, why don'tI was thinking we uh, put your name on the answering machine.""]"
"Oh, the tears are real.",4,"[""Ross: Oh, I uh, hope you don't mind, I kinda uh, jazzed it up a little. Check this out. (He plays the greeting, and We Will Rock You starts to play and Ross's voice comes over it.) We will, we will, call you back!"", 'Joey: Hey, all right!', 'Ross: Pretty cool, huh?', ""Joey: (To Chandler) You're fake laughing too, right?""]"
What are you doing?,10,"['Larry: Oh, will you mind if I wash up? Because I came straight from work and who knows where these babies (Holds up his hands) have been.', 'Phoebe: (laughing) You are just nonstop!', ""Larry: (coming back) We're outta here!"", 'Phoebe: Why?!', ""Larry: Just walking past the kitchen I saw 10 violations! I'm shutting this place down!"", 'Phoebe: (awed) You have the power to do that?', 'Larry: This does. (Shows her his badge.)', 'Phoebe: (excited) Shut it down.', ""[Scene: Chandler and Joey's, Chandler is entering. As he closes the door, Joey pokes his head up from a box enclosure built using the 2 chairs.]"", 'Joey: Hey.']"
You built a fort didn't ya?,1,['Joey: Nothing.']
"(notices something) Oh my God, the air purifier! Ross's air purifier! All I heard through 4 years of college was (makes a humming noise.)",1,['Joey: (smiles) Kinda.']
I hate this thing!,1,"[""Joey: Dude, you should've gone out once and a while.""]"
(entering) Hello children!,10,"['Danny: Take care. (Leaves.)', ""Rachel: Okay. (Closes the door.) Walked right into that one didn't he?"", 'Monica: What one? You wanted him to invite you to the party and he did it!', 'Rachel: Yeah, but he waited until the last minute! So if I said yes, he would know I had nothing better to do than wait around for an invitation to his stupid party. I said, ""No!"" Which puts me right back in the driver seat.', 'Monica: Great. So the ball is in his court?', 'Rachel: Ball? There is no ball.', ""[Scene: Chandler and Joey's and Ross's, Ross is working on his computer and Joey is making a lot of noise.]"", 'Ross: (glaring at him) Joey, please! (Motions to his computer.)', 'Joey: Sorry.', 'Joey: Ahhhhhhhhhh']"
Okay. (Starts to head for where the foosball table usually is.),1,['Joey: Hey! Wanna play some foosball? Please?']
Bye-bye little puppet Joey hand?,2,"[""Joey: No-no, no! We have to move the table into my room, yeah! 'Cause of all the boxes. Come on!"", ""Joey: All right, I have one question. What is the deal with this? (Imitates Ross's 'quiet down' maneuver, but does move his hands up and down he just flaps his hands as if he's waving good-bye.)""]"
You mean this. (Does the maneuver perfectly.),1,"['Joey: No, the quiet down thing!']"
"(gasps) All right look, y'know, this maybe tough but come on, this is Ross! I survived college with him!",1,"[""Joey: Um-hmm! Look, I-I-I don't know how much more of this I can take! Did you know he taped over my Baywatch tape with some show about bugs! My God! What if that had been porn?""]"
Okay.,1,"[""Joey: All right, I guess I can hold out a little longer. Let's have a game.""]"
No-no-no-no!,0,[]
"Okay, so he's out of here.",2,"['Joey: YES!!', 'Ross: (entering) Uh fellas, (Does the maneuver and gives them a double thumbs up, which Chandler returns as he closes the door.)']"
"Well, I-I-I'm done with this. You want anything Ross? Sports? International? Apartment listings?",10,"[""Rachel: Don't let him in! I'm supposed to be at a regatta gala."", ""Monica: (to Danny) We'll be right there! (To Rachel) Can't you just say it starts later?"", 'Rachel: What? What kind of a regatta gala starts at night?!', 'Monica: The fake kind!', 'Danny: Hey, hi, I need a ladle. You got a ladle?', 'Monica: We have a ladle. (Gives him one.)', 'Danny: Thanks, see you at the party.', 'Monica: Okay, great!', 'Phoebe: Hey, guys, you know what Larry would say? He would say, ""See you ladle."" (Laughs.)', '[Scene: Central Perk, Chandler, Joey, and Ross are there. Chandler and Joey are looking through the paper.]']"
Not even on page 7?,5,"[""Ross: I'll take sports."", 'Joey: Mine! (He grabs it.)', 'Ross: All right. Uhh, international.', ""Joey: Oh that's mine too! (Grabs it and Ross looks at him.) I'm Italian!"", ""Ross: Well, I guess I can check out those apartment listings, even though there's never anything in here.""]"
What about that circled one?,1,"[""Ross: (looks) Oh yeah! You'rehey, you're right! Here's an affordable place, (reading ad) two bedroom, close to work, ooh, it's available in five weeks!""]"
"Yes, it is.",2,"[""Ross: Oh, I-I don't know, it's kind of expensive for a studio."", ""Joey: But it's available now! Isn't it?""]"
There we go!,3,"[""Joey: Hey, let's go look at it! (They both jump up.)"", ""Ross: Okay, let's go."", 'Joey: Okay!']"
Let's go quicker.,1,"['Ross: Oh-oh-ooh, hey guys, I was wondering if you guys would uh, maybe chip in on some new air filters for the air purifier? I mean after all, we all are using it.']"
"Yeah, well look at this kitchen, slash bathroom. Well that's great! Y'know so you can cook while in the tub.",3,"['Joey: Yeah!', ""[Scene: The apartment in the listing, the guys are checking it out. There's one problem though, it's roughly the size of this computer screen. As they enter Joey lets out a whistle.]"", ""Ross: Oh my God! (Looking around, which doesn't take him long.)""]"
"Yeah, you don't want to be stuck with us for the next five weeks.",3,"[""Joey: Somebody was using his head. Hey, let's check out the rest of the place."", ""Ross: I think this is it. I don't know, maybe we should keep looking."", 'Joey: But hey, Ross, this place is available now!']"
It's a kitchen slash bathroom.,4,"['Joey: Yeah.', 'Ross: (To Joey) So, you-you think I should go ahead and take this place?', ""Joey: Oh, it's perfect!"", 'Ross: (To Chandler) How about you?']"
We are bad people.,1,"[""Ross: All right, I see what you guys are saying. I'll uh, I'll go downstairs and fill out an application.""]"
Yes that was a nice place!,10,"['Larry: (notices something) I wonder how long that milk (on the counter) has been setting out.', ""Phoebe: Oh, no-no, this place is totally healthy! Thatthis milk is mine. I bought this today, 'cause I was thirsty for milk, y'know. (She takes a swig of it, but has to turn away from him as she makes a face to show that it has gone bad.) Okay, let's go!"", 'Larry: Hey, buddy! (Flashes his badge.) Are you familiar with Section 11-B of the Health Code that requires all refuse material out the back exit?', ""Gunther: But then I'd have to go all the way around the dry cleaner place."", ""Larry: Oh, so you're saying you'd choose convenience over health?!"", ""Phoebe: Okay, stop! Larry, okay, can't you just be Larry and not Larry the health inspector guy? Y'know I mean it was really exciting at first but now it's like, okay, so where are we gonna eat ever?"", 'Larry: Well, I suppose I could give him a warning.', ""Phoebe: Thank you. (To Gunther, who's standing there frozen) Okay, go! Go! Go! (He runs off.) (To Larry) Now, if after dinner you still really need to bust someone, I know a hot dog vendor who picks his nose."", ""[Scene: Chandler and Joey's, Chandler and Joey are lamenting about how they kicked Ross out.]"", 'Joey: Maybe, maybe we did a good thing, helping Ross get back on his feet!']"
"Not a lot of closet space, but he can just hang his stuff out the window in a bag!",1,['Joey: Yeah!']
What are we gonna do?,1,['Joey: Yeah!']
About Ross!,1,"[""Joey: I don't know. Maybe pizza?""]"
"(grabbing the phone) Of course he has this big huge dog! That uh, barks into the night. (Listens.) Well, who doesn't love dogs? (Thinks.) Ah, he's a tap dancer! (Listens.) Yes, some would say that is a lost art. (Thinks.) He's a pimp! (Listens.) There you go! Yes, he's a pimp. He's a big, tap dancing pimp! (Pause.) Hello?",2,"['Joey: Oh! Oh!', ""Joey: Hello! (Listens.) Oh yeah! (To Chandler) It's the apartment manager; Ross put us down as references. (To the apartment manager.) Ross is the greatest guy you'll ever meet! Yeah, he's very reliable.""]"
Ohhhhh!,0,[]
"98. 99. 100. Okay, go!",10,"[""Tom: So you work at Bloomingdale's, huh? My mom calls it Bloomies."", 'Rachel: (laughs) Yeah, okay, at ease solider!', ""Tom: I'm sorry?"", ""Rachel: No, it's all right, you can just drop the act Tommy. I know what's going on here. Your Danny's wingman right? You guys are best buds. Frat bros!"", ""Tom: I'm gonna go talk to uh, a friend."", 'Rachel: Yeah, yeah, you go talk to your friend. You tell him, ""Nice try.""', 'Rachel: Man! He just keeps lobbing them up and I just keep knocking them right out of the park!', 'Monica: I think I need a drink.', 'Rachel: Yeah!', ""[Scene: Chandler and Joey's, Ross still has boxes all over the place. Joey is wearing a football helmet, and Chandler is spinning him around in one of the chairs and counting.]""]"
Here we go! Here we go!,1,"[""Joey: (getting up) Dude, I'm telling ya! I'm fine! (He tries to take a step and falls flat on his face.)""]"
Hey!,1,['Joey: Hey!']
"You're kidding, no!",2,"[""Ross: Hey. So I uh, I didn't get that apartment. Some problem with my application."", ""Joey: You're kidding!""]"
Yeah!,4,"['Ross: Yeah. But, the good news is that Phoebe said that I could stay at her place for a while. So', ""Joey: But you can't stay with Phoebe, Ross! We're-we're roomies!"", ""Ross: Look, you guys don't need me here taking up your space."", ""Joey: Well, we got plenty of space! There-there's still some over there (Points to where the window is but sees that there isn't any space there and points towards his door.) by-by that speaker. Please, just stay!""]"
"Yes! Ross, you have to stay!",2,"['Ross: Are you guys sure about this?', 'Joey: Definitely!']"
"All right, buddy!",2,"['Ross: All right.', 'Joey: All right!']"
"Well, I see you've had a very productive day. Don't you think the cowboy hat is a little much?",2,"[""Ross: So I'm a pimp huh? It's okay! Look, I know that sometimes I can be a pain in the ass, but you just have to talk to me. Tell me if something is bothering you. Okay? And for my part I will do everything I can to keep my annoying habits just (Does the 'quiet down' maneuver)."", ""[Scene: Chandler and Joey's and Ross's, Chandler is entering and when he closes the door Joey pops his head out of the fort like before, but this time he's wearing a cowboy hat.]""]"
All right! (He joins them in the fort and comes up putting on a bonnet.) Isn't this a woman's hat?,1,"[""Ross: (popping up behind Joey wearing an Indian headdress) Come on, it's fun!""]"
"That's sweet, Joey.",10,"[""Ross: I couldn't possibly eat another bite."", 'Joey: I need something sweet.', 'Phoebe: Does anyone wanna watch TV?', 'All: Yeah, sure.', ""Phoebe: Monica your remote doesn't work."", 'Monica: Phoebe, you have to lift it and point.', 'Phoebe: Oh. Aw, forget it.', ""Rachel: Yeah, you know what we should all do? We should play that game where everyone says one thing that they're thankful for."", ""Joey: Ooh-ooh, I! I am thankful for this beautiful fall we've been having."", ""Monica: That's very nice.""]"
Are you aware that you're still talking?,3,"[""Joey: Yeah, the other day I was at the bus-stop and this lovely fall breeze came in out of nowhere and blew this chick's skirt right up. Oh! Which reminds me, I'm also thankful for thongs. (Note: Actually, I think every guy is thankful for thongs. That and spandex. J )"", ""[Scene: Monica and Rachel's, continued from earlier. Joey is talking about the wonder that is the thong.]"", ""Joey: I mean, it's not so much an underpant as it is a feat of engineering. I mean, it's amazing how much they can do with so little material! And the way they play with your mind! Is it there? Is it not there?""]"
No-no-no! I am the king of bad Thanksgivings. You can't just swoop in here with your bad marriage and take that away from me.,4,"['Monica: Is anyone thankful for anything else besides a thong?', ""Ross: Huh, I don't know what to pick. Am I more thankful for my divorce or my eviction? Hmm."", ""Phoebe: Wow! See, and I didn't think you'd be able to come up with anything."", ""Ross: I'm sorry. It's just that this is the worse Thanksgiving ever.""]"
"It's a tradition, like the parade. If the parade decided it was gay, moved out, and abandoned its entire family.",3,"[""Rachel: Oh, you're not gonna tell the whole story about how your parents got divorced again are you?"", 'Ross: Oh God, no.', ""Joey: Oh, come on! I wanna hear it! It wouldn't be Thanksgiving without Chandler bumming us out!""]"
"Really? Worse than, ""More turkey Mr. Chandler?""",6,"['[Scene: The Bing household, Mr. and Mrs. Bing and Young Chandler are eating Thanksgiving dinner as a housekeeper serves them.]', ""Mrs. Bing: Now Chandler dear, just because your father and I are getting a divorce it doesn't mean we don't love you. It just means he would rather sleep with the house-boy than me."", 'The Housekeeper: More turkey Mr. Chandler? (And he makes eyes at him.)', ""[Scene: Monica and Rachel's, continued from earlier.]"", ""Ross: You're right. Yours is worse. You are the king of bad Thanksgivings."", ""Phoebe: I don't know about that. I've got one that's worse.""]"
It's exactly like it sounds.,10,"['Ross: In this life, Phoebe.', ""Phoebe: Oh, this life! Oh okay no, Chandler's is worse."", ""Joey: Man, it must be so cool remembering stuff like that! I don't have any past life memories."", ""Phoebe: Of course you don't sweetie. You're brand new."", ""Rachel: I know Monica's worst Thanksgiving."", ""Monica: Oh, let's not tell this story."", 'All: Oh, come on!', ""Phoebe: Oh no, I know! I know! It's the one where Joey got Monica's turkey stuck on his head!"", 'Rachel: What?! Joey got a turkey stuck on his head?!', ""Joey: Hey, it's not like it sounds.""]"
"Arghhhhhh!! (Joey turns around to taunt him, but Chandler is in the doorway and Joey is facing the kitchen.)",10,"[""Joey: It's Joey."", 'Monica: What-what are you doing? Is this supposed to be funny?', ""Phoebe: No, it's not supposed to be funny, it's supposed to be scary."", 'Monica: Well, get it off now!', ""Joey: I can't! It-it's stuck!"", ""Monica: Well, I don't care! That-that turkey has to feed 20 people at my parent's house and they're not gonna eat it off your head!"", ""Phoebe: All right, hold on! Okay, let's just all think."", ""Monica: Okay, I got it. Phoebe? All right, you pull. I'm gonna spread the legs as wide as I can. (Joey starts giggling.) Joey? Now is not the time!"", 'Joey: Sorry! Sorry.', 'Monica: Okay, count to three. 1. 2. 3!']"
I'm over here big guy.,1,"['Joey: (pointing) It worked! I scared ya, I knew it! Ha-ha!']"
(laughing) You did look like an idiot.,2,"['Joey: (turning all the way around, and still not facing Chandler) Yeah, you are! (Starts dancing.) I scared you!', ""[Scene: Monica and Rachel's, continued from earlier.]""]"
"Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about. Y'know, for me anyway. And of course, the Indians.",6,"['Joey: Hey, I wasn\'t the only one who looked like an idiot. All right? Remember when Ross tried to say, ""Butternut squash?"" And it came out, ""Squatternut buash?""', ""Ross: Yeah that's the same."", ""Monica: That's it. That's my worse Thanksgiving."", ""Phoebe: Oh wait! That can't be the one Rachel's talking about. She didn't even know that happened. So which one was it?"", 'All: Which one?', ""Monica: Umm, I-I really don't want to tell this story.""]"
(seeing her) Okay.,10,"[""Big Nosed Rachel: Okay, Monica, can you just call it sex?! It really creeps me out when you call it that! Okay, and by the way, while we're at it, a guy's thing is not called his tenderness. Believe me! (Walks into the living room and greets Monica's parents.) Hi!"", 'Mr. Geller: Hi Rachel!', 'Big Nosed Rachel: Happy Thanksgiving!', 'Mrs. Geller: You too sweethart!', 'Ross: (entering) Hey!', 'Mr. Geller: Oh my!', 'Ross: Uh, everyone, this is Chandler! My roommate and lead singer of our band!', 'Fat Monica: Ross! (Wanting to be introduced.)', 'Ross: Oh, this is Monica.', ""Fat Monica: Hi, I'm Ross's little sister.""]"
"Well, as long as the pilgrims didn't eat it, I'm in.",4,"[""Mrs. Geller: I'm so glad you could come Chandler, we've got plenty of food so I hope you're hungry."", ""Ross: Oh, mom. Mom. Chandler hates Thanksgiving and doesn't eat any Thanksgiving food."", ""Mrs. Geller: Oh, well, I'm so glad you brought him here then."", 'Fat Monica: Umm, Chandler, if you want I can make you some macaroni and cheese for dinner.']"
"Oh yeah, it was great. You should be a chef.",10,"[""Ross: So uh, Rach? Does it, does it feel weird around here now? Y'know since I've been away at college."", 'Big Nosed Rachel: Oh! No, not really.', ""Ross: Well, that's cool. So did (She walks away from him and he shuts up.)"", ""Big Nosed Rachel: Ugh! I cannot believe Chip dumped me for that slut Nancy Branson. I am never going out with him again. I don't care how much he begs!"", ""Fat Monica: I think his begging days are over now that he's going out with Nancy Branson."", ""Big Nosed Rachel: Y'know what? I've just had it with high school boys! They are just silly. (Ross is overhearing this.) Silly, stupid boys! I'm going to start dating men!"", ""Ross: Umm, I'm sorry Judy, I couldn't find that bowl that you and Jack were looking for."", 'Fat Monica: Call them mom and dad you loser!', 'Ross: (in a high pitched voice) Monica!', 'Fat Monica: Hey Chandler! Did you like the macaroni and cheese?']"
Emotional Knapsack?,9,"['Fat Monica: Okay!', 'Big Nosed Rachel: Guess what?! All that stuff about Nancy Branson being a slut was all a rumor so Chip dumped her and he wants to come over to my house tonight!', ""Fat Monica: Oh that's so great!"", 'Big Nosed Rachel: I know!', ""Fat Monica: Oh gosh, listen if you and Chip do it tonight, promise me you'll tell me everything."", ""Big Nosed Rachel: Oh totally, totally. Y'know it's not that big of deal, we already kinda did it once y'know."", ""Fat Monica: I know, but y'know, this time you're gonna definitely know whether or not you did it!"", 'Big Nosed Rachel: I know, I know. And oh, and this time Chip promised that-that this time it will last at least for an entire song!', ""Ross: So Im thinking about asking Rachel out tonight. Y'know maybe play her that song we wrote last week.""]"
"Right on! Oh! Uh, but, dont take to long okay? 'Cause uh, we're gonna test out our fake ID's tonight, right Clifford Alverez.",1,['Ross: Yeah.']
"Dude, don't do that too me!",1,"['Ross: Listen, Roland Chang, if things go well, Im gonna be out with her all night.']"
"No, it's not that, I just don't want to be stuck here all night with your fat sister.",1,"[""Ross: All right, it's cool you can stay here. My parents won't mind.""]"
I called you fat?! I don't even remember that!,5,"['Ross: Hey!', ""Mrs. Geller: (holding two pies) Monica, why don't you finish off these pies? I don't have any more room left in the fridge."", 'Fat Monica: No. No, thank you!', ""Mr. Geller: Well Judy, you did it! She's finally full!"", ""[Scene: Monica and Rachel's, back to the present day.]""]"
I am so sorry. I really am. I was an idiot back then. I rushed the stage at a Wham concert for crying out loud!,1,"['Monica: Well, I do.']"
"I am really sorry. That is so terrible. I am so, so sorry.",2,"[""Phoebe: Oh, I can't believe you called her fat."", ""Ross: I can't believe you let George Michael slap you.""]"
We wanna hear Monica's Thanksgiving story!,5,"[""Rachel: Actually, y'know that's not the Thanksgiving I was talking about."", 'Monica: Yes, it was!', ""Rachel: No, it wasn't. It was actually the"", ""Monica: (interrupting her) Okay, now Thanksgiving's over, let's get ready for Christmas. Who wants to go get a Christmas tree?!"", 'Phoebe: Oh, no, I have the cutest Christmas story!']"
"Yeah, we were just talking about that. I can't believe how stupid we used to look. (They both quickly push their sleeves over their elbows.)",10,"['Mr. Geller: (entering) Hi Rachel.', 'Rachel: Oh hi!', 'Mr. Geller: Wow, love your new nose!', 'Mrs. Geller: Jack.', ""Mr. Geller: What? Dr. Wilson's an artist! He removed my mole cluster. Wanna see? (He starts to show her as the doorbell rings.)"", ""Mrs. Geller: I'll get it."", 'Rachel: No, God! Please, let me! (Runs out.)', 'Rachel: Hey!', 'Ross: Hey. (To his parents) Happy Thanksgiving!', 'Mr. Geller: (To Chandler) God, your hair sure is different!']"
Oh my God!,3,"[""Ross: So uh, where's Monica?"", ""Mrs. Geller: She's upstairs. Monica! Come down! Everyone's here! Ross, Rachel, and the boy who hates Thanksgiving."", 'Monica: Hi, Chandler.']"
"You just, you look so different! Terrific! That dress! That body!",1,"[""Monica: What-what's the matter? Is there, is there something on my dress? (She turns around making sure he gets a good look.)""]"
Sorry!,1,['Ross: Dude!']
Sorry.,4,"[""Mrs. Geller: Yes, yes Monica is thin. It's wonderful. But what we really want to hear about is Ross's new girlfriend."", ""Ross: Oh mom! Okay, umm, her name is Carol. And she's really pretty. And smart. And uh, she's-she's on the lacrosse team and the golf team. Can you believe it? She plays for both teams!"", ""Monica: So Chandler, I guess I'll see you at dinner."", 'Mr. Geller: Dude!']"
"Monica, I was wondering if you can make me some of that righteous mac and cheese like last year.",10,"['Monica: Yeah.', 'Rachel: Yeah.', ""Monica: And when he's naked I can throw him out in the front yard and lock the door and all the neighbors will just humiliate him!"", 'Rachel: Then, you will definitely get him back!', 'Monica: Okay, so how do I make him think I wanna have sex with him?', ""Rachel: Okay, oh, here's what you do. Just act like everything around you turns you on."", 'Monica: What do you mean?', 'Rachel: Well, like anything can be sexy. Like umm, oh-oh, like this dishtowel! (She grabs it and starts rubbing it on her cheek.) Ooh, ooh, this feels sooo good against my cheek! And-and if I feel a little hot, I can just dab myself with it. Or I can bring it down to my side and bring it through my fingers while I talk to him.', 'Monica: (excited) I can do that!', ""Rachel: Yeah? Okay! Good, good, because he's coming. He's coming. (To Chandler) Hey, what's up? (She leaves and closes the door behind her.)""]"
Okay.,1,"[""Monica: Umm, I'd love too! (She goes over and picks up the box and decides to follow Rachel's advice and holds the box up to her cheek.) Ooh, I love macaroni and cheese. I love-I love the way this box feels against my cheek.""]"
Are you all right?,1,"[""Monica: Boy, I love carrots! Oh! (She picks up a bunch of them and holds them between her fingers.) Sometimes I like to put them between my fingers like this and-and hold them down here while I talk to you. (She is rubbing her hip with the carrots.) Umm, and-and-and y'know if I get really hot umm, I-I like to pick up this knife (She picks up a knife without putting the box down. She's holding the box between her cheek and shoulder) and-and umm, I-I put the cold steal against umm, (Pause) my body. (She doesn't have any exposed skin within reach of the knife, so while holding the carrots in one hand and the box between her face and shoulder, she rubs the knife on her stomach.)""]"
What?,10,"['The Doctor: What do we got here?', 'The Paramedic: Twenty year old has got a severed toe on his right foot.', 'Ross: Can you please not do that feet first? You know where his injury is! Severed toe, you just said it!', 'The Doctor: It says here that the knife went right through your shoe.', ""Mr. Geller: Of course it did. They're made of wicker."", 'The Doctor: Did you bring the toe?', 'Monica: Oh yes! I have it right here, on ice! (She takes a bag of ice out of her purse and hands it to the doctor.)', ""The Doctor: (opening it) Don't worry son, we'll just attach it and(Stops suddenly.)"", 'Monica: What?! What is it?', 'The Doctor: You brought a carrot.']"
Without my toe?! I need my toe!,5,"[""The Doctor: This isn't your toe, this is a small, very cold piece of carrot."", 'Rachel: You brought a carrot?!', ""Mrs. Geller: Oh my God! There's a toe in my kitchen."", ""Monica: God, I'm sorry! I'll go back and get it!"", ""The Doctor: It's too late, all we can do now is sow up the wound.""]"
That's why I lost my toe?! Because I called you fat?!,3,"['Monica: Wait, no-no-no, I can go really fast! Dad, give me the keys to your Porsche!', ""Mr. Geller: Oh, I'm not falling for that one!"", ""[Scene: Monica and Rachel's, Chandler is reacting to the story.]""]"
That's why for an entire year people called me Sir Limps-A-Lot?!,1,"[""Monica: I didn't mean to cut it off. It was an accident.""]"
"Yeah, well, I miss the tip! It's the best part. It has the nail. (He storms out.)",1,"[""Monica: I'm sorry! It wasn't your whole toe!""]"
I can't believe this.,3,"['Monica: Chandler! (Follows him out.)', 'Ross: (To Joey) Sir Limps-A-Lot, I came up with that.', ""Joey: You're a dork.""]"
"Yeah, well, sorry doesnt bring back the little piggy that cried all the way home! I hate this stupid day! And everything about it! I'll see you later.",1,"['Monica: Chandler, I said I was sorry.']"
"Yeah, just leave me alone for a while. (He goes into his apartment.)",1,"['Monica: Oh wait, Chandler, come here is there anything I can do? Anything?']"
"Oh-oh, I'm a duck! I go, ""Quack, quack!"" Im happy all the time!",1,"[""[Scene: Chandler, Joey, and Ross's, Chandler is sitting on one of the chairs and the duck is running around him and quacking.]""]"
Nice try.,0,[]
"Look, Monica",1,"[""Monica: Wait, wait, wait! (She puts a Shriner's hat on the turkey.)""]"
This is not going to work.,1,"['Monica: Look! (She puts a big, yellow pair of sunglasses on the bird.)']"
You are so great! I love you!,1,['Monica: I bet this will work! (She starts dancing and Chandler cracks up.)']
"Nothing! I said, I said ""You're so great"" and then I just, I just stopped talking!",1,['Monica: What?']
